Sample1	Sample2	p_same	Model1	Model2	psame	pdiff	nummatch	nummismatch	numopphom	numhettohom	numhomtohet
GSM2392619.GSM2392619	MDAMB415_BREAST.CCLE_MDAMB415_BREAST	-222.6	GSM2392619	MDAMB415_BREAST	-347.4	-124.7	53	84	25	24	35
GSM2392619.GSM2392619	MDAMB436_BREAST.CCLE_MDAMB436_BREAST	-180.4	GSM2392619	MDAMB436_BREAST	-310.6	-130.2	65	73	28	30	15
GSM2392619.GSM2392619	CCLE_SKBR3_BREAST.CCLE_SKBR3_BREAST	-200.6	GSM2392619	CCLE_SKBR3_BREAST	-328.4	-127.8	60	78	31	22	25
GSM2392619.GSM2392619	CCLE_MCF7_BREAST.CCLE_MCF7_BREAST	35.2	GSM2392619	CCLE_MCF7_BREAST	-87.3	-122.5	136	9	0	1	8
GSM2392619.GSM2392619	CCLE_MDAMB175VII_BREAST.CCLE_MDAMB175VII_BREAST	-240.3	GSM2392619	CCLE_MDAMB175VII_BREAST	-369.4	-129.1	52	89	27	25	37
GSM2392619.GSM2392619	AU565_BREAST.CCLE_AU565_BREAST	-194.9	GSM2392619	AU565_BREAST	-325.5	-130.6	63	78	31	22	25
GSM2392619.GSM2392619	HCC1187_BREAST.CCLE_HCC1187_BREAST	-212.9	GSM2392619	HCC1187_BREAST	-347.1	-134.2	60	82	32	29	21
GSM2392619.GSM2392619	CCLE_HCC1143_BREAST.CCLE_HCC1143_BREAST	-189.5	GSM2392619	CCLE_HCC1143_BREAST	-324.6	-135.1	69	76	27	29	20
GSM2392619.GSM2392619	CCLE_HCC1419_BREAST.CCLE_HCC1419_BREAST	-202.6	GSM2392619	CCLE_HCC1419_BREAST	-326.8	-124.2	62	78	17	20	41
GSM2392619.GSM2392619	CCLE_HCC1395_BREAST.CCLE_HCC1395_BREAST	-167.8	GSM2392619	CCLE_HCC1395_BREAST	-303.2	-135.4	73	71	29	29	13
GSM2392619.GSM2392619	HCC2157_BREAST.CCLE_HCC2157_BREAST	-231.0	GSM2392619	HCC2157_BREAST	-369.4	-138.4	57	88	42	26	20
GSM2392619.GSM2392619	CCLE_KPL1_BREAST.CCLE_KPL1_BREAST	35.8	GSM2392619	CCLE_KPL1_BREAST	-86.1	-121.9	135	9	0	0	9
GSM2392619.GSM2392619	CCLE_BT20_BREAST.CCLE_BT20_BREAST	-179.3	GSM2392619	CCLE_BT20_BREAST	-313.1	-133.9	68	74	29	31	14
GSM2392619.GSM2392619	CCLE_HMC18_BREAST.CCLE_HMC18_BREAST	-222.7	GSM2392619	CCLE_HMC18_BREAST	-351.4	-128.8	50	85	35	29	21
GSM2392619.GSM2392619	HCC1954_BREAST.CCLE_HCC1954_BREAST	-217.7	GSM2392619	HCC1954_BREAST	-350.6	-132.8	57	87	30	24	33
GSM2392619.GSM2392619	CCLE_HCC202_BREAST.CCLE_HCC202_BREAST	-165.4	GSM2392619	CCLE_HCC202_BREAST	-293.9	-128.4	73	67	21	27	19
GSM2392619.GSM2392619	HCC1806_BREAST.CCLE_HCC1806_BREAST	-230.1	GSM2392619	HCC1806_BREAST	-368.7	-138.5	56	87	39	35	13
GSM2392619.GSM2392619	HCC1937_BREAST.CCLE_HCC1937_BREAST	-180.1	GSM2392619	HCC1937_BREAST	-318.1	-137.9	72	74	28	33	13
GSM2392619.GSM2392619	BT474_BREAST.CCLE_BT474_BREAST	-182.0	GSM2392619	BT474_BREAST	-309.3	-127.3	65	73	22	26	25
GSM2392619.GSM2392619	CCLE_HMEL_BREAST.CCLE_HMEL_BREAST	-246.4	GSM2392619	CCLE_HMEL_BREAST	-375.2	-128.8	54	91	23	19	49
GSM2392619.GSM2392619	CCLE_ZR751_BREAST.CCLE_ZR751_BREAST	-219.7	GSM2392619	CCLE_ZR751_BREAST	-346.0	-126.3	50	83	32	32	19
GSM2392619.GSM2392619	ZR7530_BREAST.CCLE_ZR7530_BREAST	-259.5	GSM2392619	ZR7530_BREAST	-389.5	-130.0	42	98	30	31	37
GSM2392619.GSM2392619	CAL120_BREAST.CCLE_CAL120_BREAST	-188.4	GSM2392619	CAL120_BREAST	-321.1	-132.7	65	77	31	25	21
GSM2392619.GSM2392619	CCLE_HDQP1_BREAST.CCLE_HDQP1_BREAST	-192.5	GSM2392619	CCLE_HDQP1_BREAST	-326.5	-134.0	65	77	32	27	18
GSM2392619.GSM2392619	EFM19_BREAST.CCLE_EFM19_BREAST	-174.2	GSM2392619	EFM19_BREAST	-303.4	-129.2	70	72	21	24	27
GSM2392619.GSM2392619	CCLE_EFM192A_BREAST.CCLE_EFM192A_BREAST	-187.0	GSM2392619	CCLE_EFM192A_BREAST	-320.1	-133.1	68	76	25	28	23
GSM2392619.GSM2392619	UACC812_BREAST.CCLE_UACC812_BREAST	-187.6	GSM2392619	UACC812_BREAST	-308.8	-121.2	57	73	31	23	19
GSM2392619.GSM2392619	CCLE_HS578T_BREAST.CCLE_HS578T_BREAST	-250.1	GSM2392619	CCLE_HS578T_BREAST	-376.8	-126.8	45	93	24	31	38
GSM2392619.GSM2392619	HCC70_BREAST.CCLE_HCC70_BREAST	-238.3	GSM2392619	HCC70_BREAST	-370.4	-132.1	50	89	35	29	25
GSM2392619.GSM2392619	HCC38_BREAST.CCLE_HCC38_BREAST	-200.8	GSM2392619	HCC38_BREAST	-337.6	-136.7	64	81	31	30	20
GSM2392619.GSM2392619	CAL851_BREAST.CCLE_CAL851_BREAST	-230.2	GSM2392619	CAL851_BREAST	-365.6	-135.4	54	88	36	31	21
GSM2392619.GSM2392619	CCLE_CAMA1_BREAST.CCLE_CAMA1_BREAST	-202.8	GSM2392619	CCLE_CAMA1_BREAST	-330.5	-127.7	62	80	20	24	36
GSM2392619.GSM2392619	CCLE_JIMT1_BREAST.CCLE_JIMT1_BREAST	-199.4	GSM2392619	CCLE_JIMT1_BREAST	-332.2	-132.8	64	80	28	25	27
GSM2392619.GSM2392619	CCLE_MDAMB453_BREAST.CCLE_MDAMB453_BREAST	-172.8	GSM2392619	CCLE_MDAMB453_BREAST	-301.1	-128.3	74	69	18	22	29
GSM2392619.GSM2392619	MDAMB361_BREAST.CCLE_MDAMB361_BREAST	-193.2	GSM2392619	MDAMB361_BREAST	-310.6	-117.5	60	75	17	13	45
GSM2392619.GSM2392619	CCLE_MDAMB134VI_BREAST.CCLE_MDAMB134VI_BREAST	-184.5	GSM2392619	CCLE_MDAMB134VI_BREAST	-309.2	-124.7	64	73	21	22	30
GSM2392619.GSM2392619	MDAMB157_BREAST.CCLE_MDAMB157_BREAST	-250.5	GSM2392619	MDAMB157_BREAST	-388.5	-138.0	45	95	50	30	15
GSM2392619.GSM2392619	MDAMB231_BREAST.CCLE_MDAMB231_BREAST	-208.5	GSM2392619	MDAMB231_BREAST	-337.7	-129.2	59	81	26	25	30
GSM2392619.GSM2392619	CCLE_HS739T_FIBROBLAST.CCLE_HS739T_FIBROBLAST	-247.9	GSM2392619	CCLE_HS739T_FIBROBLAST	-376.5	-128.5	46	93	29	28	36
GSM2392619.GSM2392619	T47D_BREAST.CCLE_T47D_BREAST	-193.2	GSM2392619	T47D_BREAST	-325.4	-132.2	66	76	25	31	20
GSM2392619.GSM2392619	CCLE_HCC1428_BREAST.CCLE_HCC1428_BREAST	-189.5	GSM2392619	CCLE_HCC1428_BREAST	-324.4	-134.9	67	77	32	26	19
GSM2392619.GSM2392619	HCC2218_BREAST.CCLE_HCC2218_BREAST	-188.7	GSM2392619	HCC2218_BREAST	-315.1	-126.3	63	74	23	27	24
GSM2392619.GSM2392619	CCLE_HCC1500_BREAST.CCLE_HCC1500_BREAST	-268.8	GSM2392619	CCLE_HCC1500_BREAST	-405.3	-136.5	43	99	42	30	27
GSM2392619.GSM2392619	CCLE_HCC1569_BREAST.CCLE_HCC1569_BREAST	-225.2	GSM2392619	CCLE_HCC1569_BREAST	-360.2	-134.9	56	87	31	33	23
GSM2392619.GSM2392619	HCC1599_BREAST.CCLE_HCC1599_BREAST	-169.8	GSM2392619	HCC1599_BREAST	-300.9	-131.1	74	71	23	20	28
GSM2392619.GSM2392619	CCLE_BT483_BREAST.CCLE_BT483_BREAST	-186.2	GSM2392619	CCLE_BT483_BREAST	-315.4	-129.2	68	76	18	24	34
GSM2392619.GSM2392619	CCLE_BT549_BREAST.CCLE_BT549_BREAST	-184.9	GSM2392619	CCLE_BT549_BREAST	-316.9	-132.1	66	75	25	32	18
GSM2392620.GSM2392620	GSM2392582.GSM2392582	-153.5	GSM2392620	GSM2392582	-266.7	-113.1	58	63	23	12	28
GSM2392620.GSM2392620	GSM2392583.GSM2392583	-154.6	GSM2392620	GSM2392583	-261.1	-106.5	51	63	22	13	28
GSM2392620.GSM2392620	GSM2392584.GSM2392584	-154.0	GSM2392620	GSM2392584	-264.9	-111.0	57	62	21	13	28
GSM2392620.GSM2392620	GSM2392585.GSM2392585	-157.6	GSM2392620	GSM2392585	-268.4	-110.8	55	64	22	12	30
GSM2392620.GSM2392620	GSM2392586.GSM2392586	-161.1	GSM2392620	GSM2392586	-273.9	-112.7	54	67	23	15	29
GSM2392620.GSM2392620	GSM2392587.GSM2392587	-166.4	GSM2392620	GSM2392587	-285.8	-119.4	59	69	23	17	29
GSM2392620.GSM2392620	GSM2392588.GSM2392588	-162.4	GSM2392620	GSM2392588	-278.0	-115.6	58	66	22	15	29
GSM2392620.GSM2392620	GSM2392589.GSM2392589	-148.9	GSM2392620	GSM2392589	-261.4	-112.5	57	63	23	13	27
GSM2392620.GSM2392620	GSM2392590.GSM2392590	-158.6	GSM2392620	GSM2392590	-271.3	-112.7	57	64	22	13	29
GSM2392620.GSM2392620	GSM2392591.GSM2392591	-129.3	GSM2392620	GSM2392591	-235.2	-106.0	57	56	22	10	24
GSM2392620.GSM2392620	GSM2392592.GSM2392592	-159.0	GSM2392620	GSM2392592	-272.4	-113.4	56	66	22	13	31
GSM2392620.GSM2392620	GSM2392593.GSM2392593	-151.2	GSM2392620	GSM2392593	-263.3	-112.2	55	64	23	12	29
GSM2392620.GSM2392620	GSM2392594.GSM2392594	-154.8	GSM2392620	GSM2392594	-268.9	-114.1	58	65	21	14	30
GSM2392620.GSM2392620	GSM2392595.GSM2392595	-155.0	GSM2392620	GSM2392595	-270.9	-116.0	60	65	22	15	28
GSM2392620.GSM2392620	GSM2392596.GSM2392596	-160.0	GSM2392620	GSM2392596	-272.9	-113.0	54	66	25	13	28
GSM2392620.GSM2392620	GSM2392597.GSM2392597	-155.2	GSM2392620	GSM2392597	-269.0	-113.7	56	66	22	15	29
GSM2392620.GSM2392620	GSM2392598.GSM2392598	-153.7	GSM2392620	GSM2392598	-265.7	-111.9	56	63	23	13	27
GSM2392620.GSM2392620	GSM2392599.GSM2392599	-153.4	GSM2392620	GSM2392599	-268.0	-114.6	60	63	22	14	27
GSM2392620.GSM2392620	GSM2392600.GSM2392600	-145.7	GSM2392620	GSM2392600	-256.8	-111.1	56	62	23	11	28
GSM2392620.GSM2392620	GSM2392601.GSM2392601	-150.5	GSM2392620	GSM2392601	-260.7	-110.2	54	64	23	14	27
GSM2392620.GSM2392620	GSM2392602.GSM2392602	-147.1	GSM2392620	GSM2392602	-259.0	-111.9	58	62	22	12	28
GSM2392620.GSM2392620	GSM2392603.GSM2392603	-152.0	GSM2392620	GSM2392603	-266.6	-114.6	59	64	23	14	27
GSM2392620.GSM2392620	GSM2392604.GSM2392604	-158.2	GSM2392620	GSM2392604	-273.6	-115.3	59	65	21	17	27
GSM2392620.GSM2392620	GSM2392605.GSM2392605	-152.2	GSM2392620	GSM2392605	-263.4	-111.2	56	63	22	15	26
GSM2392620.GSM2392620	GSM2392606.GSM2392606	49.3	GSM2392620	GSM2392606	-62.0	-111.3	129	3	0	1	2
GSM2392620.GSM2392620	GSM2392607.GSM2392607	43.3	GSM2392620	GSM2392607	-57.8	-101.1	118	2	0	2	0
GSM2392620.GSM2392620	GSM2392608.GSM2392608	48.0	GSM2392620	GSM2392608	-62.7	-110.7	127	3	0	1	2
GSM2392620.GSM2392620	GSM2392609.GSM2392609	48.5	GSM2392620	GSM2392609	-55.6	-104.0	122	1	0	1	0
GSM2392620.GSM2392620	GSM2392610.GSM2392610	47.6	GSM2392620	GSM2392610	-62.2	-109.8	128	2	0	2	0
GSM2392620.GSM2392620	GSM2392611.GSM2392611	42.0	GSM2392620	GSM2392611	-73.7	-115.7	130	6	0	2	4
GSM2392620.GSM2392620	GSM2392612.GSM2392612	56.9	GSM2392620	GSM2392612	-57.1	-114.0	135	0	0	0	0
GSM2392620.GSM2392620	GSM2392613.GSM2392613	49.7	GSM2392620	GSM2392613	-65.3	-115.0	133	3	0	1	2
GSM2392620.GSM2392620	GSM2392614.GSM2392614	43.4	GSM2392620	GSM2392614	-71.7	-115.1	129	6	0	2	4
GSM2392620.GSM2392620	GSM2392615.GSM2392615	46.2	GSM2392620	GSM2392615	-69.0	-115.2	130	5	0	2	3
GSM2392620.GSM2392620	GSM2392616.GSM2392616	48.6	GSM2392620	GSM2392616	-63.2	-111.8	129	2	0	1	1
GSM2392620.GSM2392620	GSM2392617.GSM2392617	45.7	GSM2392620	GSM2392617	-64.5	-110.1	126	3	0	2	1
GSM2392620.GSM2392620	GSM2392618.GSM2392618	45.7	GSM2392620	GSM2392618	-65.6	-111.3	129	3	0	2	1
GSM2392620.GSM2392620	GSM2392619.GSM2392619	50.4	GSM2392620	GSM2392619	-61.0	-111.4	129	2	0	2	0
GSM2392620.GSM2392620	GSM2392620.GSM2392620	67.3	GSM2392620	GSM2392620	-67.7	-135.1	145	0	0	0	0
GSM2392620.GSM2392620	GSM2392620.GSM2392620	67.3	GSM2392620	GSM2392620	-67.7	-135.1	145	0	0	0	0
GSM2392620.GSM2392620	GSM2392621.GSM2392621	42.9	GSM2392620	GSM2392621	-64.8	-107.7	123	3	0	1	2
GSM2392620.GSM2392620	GSM2392622.GSM2392622	51.2	GSM2392620	GSM2392622	-61.1	-112.4	130	2	0	1	1
GSM2392620.GSM2392620	GSM2392623.GSM2392623	50.6	GSM2392620	GSM2392623	-57.8	-108.4	127	1	0	0	1
GSM2392620.GSM2392620	GSM2392624.GSM2392624	52.2	GSM2392620	GSM2392624	-59.3	-111.5	130	1	0	0	1
GSM2392620.GSM2392620	GSM2392625.GSM2392625	47.8	GSM2392620	GSM2392625	-62.3	-110.1	129	2	0	0	2
GSM2392620.GSM2392620	GSM2392626.GSM2392626	42.3	GSM2392620	GSM2392626	-59.7	-102.0	115	4	0	3	1
GSM2392620.GSM2392620	GSM2392627.GSM2392627	49.3	GSM2392620	GSM2392627	-56.4	-105.6	123	1	0	0	1
GSM2392620.GSM2392620	GSM2392628.GSM2392628	45.2	GSM2392620	GSM2392628	-66.4	-111.6	127	4	0	3	1
GSM2392620.GSM2392620	GSM2392629.GSM2392629	50.4	GSM2392620	GSM2392629	-60.4	-110.8	128	2	0	1	1
GSM2392620.GSM2392620	CCLE_CAL51_BREAST.CCLE_CAL51_BREAST	-185.2	GSM2392620	CCLE_CAL51_BREAST	-308.7	-123.5	61	77	20	22	35
GSM2392620.GSM2392620	CCLE_CAL148_BREAST.CCLE_CAL148_BREAST	-216.0	GSM2392620	CCLE_CAL148_BREAST	-344.3	-128.4	56	85	24	27	34
GSM2392620.GSM2392620	DU4475_BREAST.CCLE_DU4475_BREAST	-209.4	GSM2392620	DU4475_BREAST	-331.9	-122.5	58	80	17	24	39
GSM2392620.GSM2392620	CCLE_HS742T_FIBROBLAST.CCLE_HS742T_FIBROBLAST	-156.6	GSM2392620	CCLE_HS742T_FIBROBLAST	-268.9	-112.3	65	64	16	12	36
GSM2392620.GSM2392620	UACC893_BREAST.CCLE_UACC893_BREAST	-198.0	GSM2392620	UACC893_BREAST	-324.4	-126.4	61	78	20	29	29
GSM2392620.GSM2392620	CCLE_HS281T_FIBROBLAST.CCLE_HS281T_FIBROBLAST	-180.2	GSM2392620	CCLE_HS281T_FIBROBLAST	-300.3	-120.1	66	72	11	20	41
GSM2392620.GSM2392620	CCLE_HS274T_FIBROBLAST.CCLE_HS274T_FIBROBLAST	-178.0	GSM2392620	CCLE_HS274T_FIBROBLAST	-298.6	-120.6	61	74	17	22	35
GSM2392620.GSM2392620	HS606T_FIBROBLAST.CCLE_HS606T_FIBROBLAST	-217.1	GSM2392620	HS606T_FIBROBLAST	-338.7	-121.6	53	85	16	23	46
GSM2392620.GSM2392620	CCLE_HS343T_FIBROBLAST.CCLE_HS343T_FIBROBLAST	-215.1	GSM2392620	CCLE_HS343T_FIBROBLAST	-338.7	-123.6	54	85	17	25	43
GSM2392620.GSM2392620	CCLE_MDAMB468_BREAST.CCLE_MDAMB468_BREAST	-184.6	GSM2392620	CCLE_MDAMB468_BREAST	-322.6	-138.0	66	77	43	27	7
GSM2392620.GSM2392620	MDAMB415_BREAST.CCLE_MDAMB415_BREAST	-224.0	GSM2392620	MDAMB415_BREAST	-349.9	-125.8	52	86	26	26	34
GSM2392620.GSM2392620	MDAMB436_BREAST.CCLE_MDAMB436_BREAST	-186.6	GSM2392620	MDAMB436_BREAST	-315.5	-128.9	63	75	26	31	18
GSM2392620.GSM2392620	CCLE_SKBR3_BREAST.CCLE_SKBR3_BREAST	-189.8	GSM2392620	CCLE_SKBR3_BREAST	-314.0	-124.2	60	75	28	23	24
GSM2392620.GSM2392620	CCLE_MCF7_BREAST.CCLE_MCF7_BREAST	33.8	GSM2392620	CCLE_MCF7_BREAST	-86.5	-120.3	134	9	0	1	8
GSM2392620.GSM2392620	CCLE_MDAMB175VII_BREAST.CCLE_MDAMB175VII_BREAST	-226.1	GSM2392620	CCLE_MDAMB175VII_BREAST	-354.9	-128.7	55	86	28	24	34
GSM2392620.GSM2392620	AU565_BREAST.CCLE_AU565_BREAST	-186.6	GSM2392620	AU565_BREAST	-315.8	-129.2	64	76	29	23	24
GSM2392620.GSM2392620	HCC1187_BREAST.CCLE_HCC1187_BREAST	-203.4	GSM2392620	HCC1187_BREAST	-336.1	-132.7	60	81	31	30	20
GSM2392620.GSM2392620	CCLE_HCC1143_BREAST.CCLE_HCC1143_BREAST	-181.6	GSM2392620	CCLE_HCC1143_BREAST	-314.3	-132.7	68	75	27	28	20
GSM2392620.GSM2392620	CCLE_HCC1419_BREAST.CCLE_HCC1419_BREAST	-205.9	GSM2392620	CCLE_HCC1419_BREAST	-329.3	-123.4	59	80	17	22	41
GSM2392620.GSM2392620	CCLE_HCC1395_BREAST.CCLE_HCC1395_BREAST	-162.9	GSM2392620	CCLE_HCC1395_BREAST	-296.0	-133.0	73	69	28	29	12
GSM2392620.GSM2392620	HCC2157_BREAST.CCLE_HCC2157_BREAST	-227.0	GSM2392620	HCC2157_BREAST	-362.6	-135.5	53	89	43	26	20
GSM2392620.GSM2392620	CCLE_KPL1_BREAST.CCLE_KPL1_BREAST	33.4	GSM2392620	CCLE_KPL1_BREAST	-87.2	-120.6	134	9	0	0	9
GSM2392620.GSM2392620	CCLE_BT20_BREAST.CCLE_BT20_BREAST	-173.1	GSM2392620	CCLE_BT20_BREAST	-304.0	-130.9	69	71	26	31	14
GSM2392620.GSM2392620	CCLE_HMC18_BREAST.CCLE_HMC18_BREAST	-218.4	GSM2392620	CCLE_HMC18_BREAST	-348.0	-129.6	52	85	33	30	22
GSM2392620.GSM2392620	HCC1954_BREAST.CCLE_HCC1954_BREAST	-203.2	GSM2392620	HCC1954_BREAST	-335.4	-132.2	61	83	30	23	30
GSM2392620.GSM2392620	CCLE_HCC202_BREAST.CCLE_HCC202_BREAST	-159.2	GSM2392620	CCLE_HCC202_BREAST	-285.1	-125.9	72	66	19	28	19
GSM2392620.GSM2392620	HCC1806_BREAST.CCLE_HCC1806_BREAST	-235.1	GSM2392620	HCC1806_BREAST	-371.2	-136.1	49	91	42	35	14
GSM2392620.GSM2392620	HCC1937_BREAST.CCLE_HCC1937_BREAST	-172.8	GSM2392620	HCC1937_BREAST	-307.4	-134.7	71	72	28	32	12
GSM2392620.GSM2392620	BT474_BREAST.CCLE_BT474_BREAST	-185.6	GSM2392620	BT474_BREAST	-312.0	-126.5	64	74	19	29	26
GSM2392620.GSM2392620	CCLE_HMEL_BREAST.CCLE_HMEL_BREAST	-250.7	GSM2392620	CCLE_HMEL_BREAST	-376.8	-126.1	49	93	22	22	49
GSM2392620.GSM2392620	CCLE_ZR751_BREAST.CCLE_ZR751_BREAST	-218.4	GSM2392620	CCLE_ZR751_BREAST	-342.5	-124.1	48	83	31	33	19
GSM2392620.GSM2392620	ZR7530_BREAST.CCLE_ZR7530_BREAST	-236.6	GSM2392620	ZR7530_BREAST	-365.1	-128.5	47	91	31	30	30
GSM2392620.GSM2392620	CAL120_BREAST.CCLE_CAL120_BREAST	-180.5	GSM2392620	CAL120_BREAST	-311.4	-130.9	69	73	27	25	21
GSM2392620.GSM2392620	CCLE_HDQP1_BREAST.CCLE_HDQP1_BREAST	-208.2	GSM2392620	CCLE_HDQP1_BREAST	-341.2	-133.0	59	83	30	31	22
GSM2392620.GSM2392620	EFM19_BREAST.CCLE_EFM19_BREAST	-169.9	GSM2392620	EFM19_BREAST	-297.3	-127.4	69	71	22	24	25
GSM2392620.GSM2392620	CCLE_EFM192A_BREAST.CCLE_EFM192A_BREAST	-178.2	GSM2392620	CCLE_EFM192A_BREAST	-309.3	-131.1	71	72	21	29	22
GSM2392620.GSM2392620	UACC812_BREAST.CCLE_UACC812_BREAST	-185.7	GSM2392620	UACC812_BREAST	-306.0	-120.3	57	72	31	24	17
GSM2392620.GSM2392620	CCLE_HS578T_BREAST.CCLE_HS578T_BREAST	-230.4	GSM2392620	CCLE_HS578T_BREAST	-355.1	-124.7	48	88	24	30	34
GSM2392620.GSM2392620	HCC70_BREAST.CCLE_HCC70_BREAST	-231.6	GSM2392620	HCC70_BREAST	-360.9	-129.3	49	88	34	29	25
GSM2392620.GSM2392620	HCC38_BREAST.CCLE_HCC38_BREAST	-186.1	GSM2392620	HCC38_BREAST	-321.0	-134.8	67	77	30	29	18
GSM2392620.GSM2392620	CAL851_BREAST.CCLE_CAL851_BREAST	-221.1	GSM2392620	CAL851_BREAST	-353.4	-132.3	54	86	34	31	21
GSM2392620.GSM2392620	CCLE_CAMA1_BREAST.CCLE_CAMA1_BREAST	-195.1	GSM2392620	CCLE_CAMA1_BREAST	-321.5	-126.3	65	76	17	26	33
GSM2392620.GSM2392620	CCLE_JIMT1_BREAST.CCLE_JIMT1_BREAST	-192.3	GSM2392620	CCLE_JIMT1_BREAST	-320.3	-128.0	63	77	27	22	28
GSM2392620.GSM2392620	CCLE_MDAMB453_BREAST.CCLE_MDAMB453_BREAST	-176.3	GSM2392620	CCLE_MDAMB453_BREAST	-300.9	-124.6	70	70	15	24	31
GSM2392620.GSM2392620	MDAMB361_BREAST.CCLE_MDAMB361_BREAST	-176.8	GSM2392620	MDAMB361_BREAST	-291.9	-115.1	60	73	15	15	43
GSM2392620.GSM2392620	CCLE_MDAMB134VI_BREAST.CCLE_MDAMB134VI_BREAST	-184.6	GSM2392620	CCLE_MDAMB134VI_BREAST	-307.5	-122.9	64	73	18	22	33
GSM2392620.GSM2392620	MDAMB157_BREAST.CCLE_MDAMB157_BREAST	-234.8	GSM2392620	MDAMB157_BREAST	-369.8	-135.0	46	92	48	30	14
GSM2392620.GSM2392620	MDAMB231_BREAST.CCLE_MDAMB231_BREAST	-192.7	GSM2392620	MDAMB231_BREAST	-319.2	-126.5	61	78	24	23	31
GSM2392620.GSM2392620	CCLE_HS739T_FIBROBLAST.CCLE_HS739T_FIBROBLAST	-232.7	GSM2392620	CCLE_HS739T_FIBROBLAST	-359.5	-126.7	50	88	28	26	34
GSM2392620.GSM2392620	T47D_BREAST.CCLE_T47D_BREAST	-191.9	GSM2392620	T47D_BREAST	-322.1	-130.3	63	77	26	31	20
GSM2392620.GSM2392620	CCLE_HCC1428_BREAST.CCLE_HCC1428_BREAST	-171.8	GSM2392620	CCLE_HCC1428_BREAST	-303.2	-131.4	70	72	27	26	19
GSM2392620.GSM2392620	HCC2218_BREAST.CCLE_HCC2218_BREAST	-174.1	GSM2392620	HCC2218_BREAST	-299.5	-125.4	67	71	19	27	25
GSM2392620.GSM2392620	CCLE_HCC1500_BREAST.CCLE_HCC1500_BREAST	-270.3	GSM2392620	CCLE_HCC1500_BREAST	-405.0	-134.7	40	101	41	31	29
GSM2392620.GSM2392620	CCLE_HCC1569_BREAST.CCLE_HCC1569_BREAST	-211.0	GSM2392620	CCLE_HCC1569_BREAST	-344.5	-133.5	58	83	33	32	18
GSM2392620.GSM2392620	HCC1599_BREAST.CCLE_HCC1599_BREAST	-165.9	GSM2392620	HCC1599_BREAST	-294.8	-128.9	74	70	21	19	30
GSM2392620.GSM2392620	CCLE_BT483_BREAST.CCLE_BT483_BREAST	-175.3	GSM2392620	CCLE_BT483_BREAST	-301.2	-125.9	69	73	16	22	35
GSM2392620.GSM2392620	CCLE_BT549_BREAST.CCLE_BT549_BREAST	-178.9	GSM2392620	CCLE_BT549_BREAST	-307.9	-129.0	67	72	22	32	18
GSM2392621.GSM2392621	GSM2392582.GSM2392582	-142.7	GSM2392621	GSM2392582	-252.0	-109.3	55	61	23	11	27
GSM2392621.GSM2392621	GSM2392583.GSM2392583	-141.4	GSM2392621	GSM2392583	-246.4	-104.9	52	60	21	12	27
GSM2392621.GSM2392621	GSM2392584.GSM2392584	-141.3	GSM2392621	GSM2392584	-249.5	-108.2	56	59	22	11	26
GSM2392621.GSM2392621	GSM2392585.GSM2392585	-141.9	GSM2392621	GSM2392585	-248.7	-106.8	54	60	21	10	29
GSM2392621.GSM2392621	GSM2392586.GSM2392586	-151.6	GSM2392621	GSM2392586	-263.6	-112.0	55	65	22	15	28
GSM2392621.GSM2392621	GSM2392587.GSM2392587	-161.7	GSM2392621	GSM2392587	-279.6	-118.0	58	68	23	16	29
GSM2392621.GSM2392621	GSM2392588.GSM2392588	-148.7	GSM2392621	GSM2392588	-262.2	-113.6	59	62	23	13	26
GSM2392621.GSM2392621	GSM2392589.GSM2392589	-150.5	GSM2392621	GSM2392589	-262.2	-111.7	54	65	23	14	28
GSM2392621.GSM2392621	GSM2392590.GSM2392590	-141.4	GSM2392621	GSM2392590	-252.0	-110.6	58	60	22	11	27
GSM2392621.GSM2392621	GSM2392591.GSM2392591	-125.5	GSM2392621	GSM2392591	-230.3	-104.8	55	56	22	8	26
GSM2392621.GSM2392621	GSM2392592.GSM2392592	-144.1	GSM2392621	GSM2392592	-255.8	-111.7	57	62	22	11	29
GSM2392621.GSM2392621	GSM2392593.GSM2392593	-141.3	GSM2392621	GSM2392593	-253.2	-111.9	57	61	23	9	29
GSM2392621.GSM2392621	GSM2392594.GSM2392594	-146.6	GSM2392621	GSM2392594	-260.5	-113.9	58	64	22	14	28
GSM2392621.GSM2392621	GSM2392595.GSM2392595	-145.7	GSM2392621	GSM2392595	-256.1	-110.4	56	62	22	13	27
GSM2392621.GSM2392621	GSM2392596.GSM2392596	-152.5	GSM2392621	GSM2392596	-264.6	-112.1	54	65	24	12	29
GSM2392621.GSM2392621	GSM2392597.GSM2392597	-147.9	GSM2392621	GSM2392597	-259.7	-111.8	55	64	23	14	27
GSM2392621.GSM2392621	GSM2392598.GSM2392598	-147.1	GSM2392621	GSM2392598	-256.8	-109.7	55	62	21	14	27
GSM2392621.GSM2392621	GSM2392599.GSM2392599	-144.5	GSM2392621	GSM2392599	-257.7	-113.2	59	62	21	15	26
GSM2392621.GSM2392621	GSM2392600.GSM2392600	-142.7	GSM2392621	GSM2392600	-251.1	-108.3	54	61	22	11	28
GSM2392621.GSM2392621	GSM2392601.GSM2392601	-143.7	GSM2392621	GSM2392601	-252.5	-108.9	54	62	23	13	26
